Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
QADB,QAD Inc.,33.25,0.24,0.7218,7/9/19,7/17/19
QAT,iShares Trust,17.95,1.26954,7.0726,6/17/19,6/21/19
QCLN,First Trust Exchange-Traded Fund,22.15,0.0972,0.4388,6/14/19,6/28/19
QCOM,QUALCOMM Incorporated,74.12,2.48,3.3459,6/5/19,6/27/19
QCRH,QCR Holdings Inc.,34.03,0.24,0.7053,6/20/19,7/3/19
QLC,FlexShares Trust,34.4,1.129516,3.2835,6/21/19,6/27/19
QQEW,First Trust Exchange-Traded Fund,68.88,0.2988,0.4338,6/14/19,6/28/19
QQQ,Invesco QQQ Trust Series 1,193.79,1.66232,0.8578,6/24/19,7/31/19
QQXT,First Trust Exchange-Traded Fund,55.502,0.1832,0.3301,6/14/19,6/28/19
QTEC,First Trust Exchange-Traded Fund,90.78,0.5748,0.6332,6/14/19,6/28/19
QTRH,Quarterhill Inc.,1.14,0.037625,3.3004,6/13/19,7/5/19
QYLD,Global X Funds,23.47,2.0532,8.7482,7/24/19,8/1/19
RAVN,Raven Industries Inc.,35.07,0.52,1.4827,7/12/19,7/29/19
RBB,RBB Bancorp,18.9,0.4,2.1164,5/1/19,5/15/19
RBCAA,Republic Bancorp Inc.,46.92,1.056,2.2506,6/20/19,7/19/19
RBNC,Reliant Bancorp Inc.,23.3,0.36,1.5451,7/5/19,7/18/19
RCKY,Rocky Brands Inc.,29.41,0.56,1.9041,5/31/19,6/17/19
RDVY,First Trust Exchange-Traded Fund VI,32.04,0.532,1.6604,6/14/19,6/28/19
RECN,Resources Connection Inc.,16.81,0.52,3.0934,5/15/19,6/13/19
REG,Regency Centers Corporation,65.55,2.34,3.5698,5/10/19,5/23/19
RELL,Richardson Electronics Ltd.,5.6,0.24,4.2857,5/7/19,5/24/19
RFAP,First Trust Exchange-Traded Fund III,51.04,2.3228,4.5509,6/14/19,6/28/19
RFDI,First Trust Exchange-Traded Fund III,56.9375,3.71,6.5159,6/14/19,6/28/19
RFEM,First Trust Exchange-Traded Fund III,62.05,1.0928,1.7612,6/14/19,6/28/19
RFEU,First Trust Exchange-Traded Fund III,59.16,4.9152,8.3083,6/14/19,6/28/19
RFIL,RF Industries Ltd.,7.25,0.08,1.1034,6/27/19,7/15/19
RGCO,RGC Resources Inc.,28.27,0.66,2.3346,7/12/19,8/1/19
RGLD,Royal Gold Inc.,118.16,1.06,0.8971,7/3/19,7/19/19
RICK,RCI Hospitality Holdings Inc.,15.29,0.12,0.7848,6/7/19,6/25/19
RILY,B. Riley Financial Inc.,18.36,0.32,5.6645,5/14/19,5/29/19
RING,iShares Inc.,21.94,0.289168,1.318,6/17/19,6/21/19
RIVE,Riverview Financial Corporation,10.3794,0.4,3.8538,6/13/19,6/28/19
RMCF,Rocky Mountain Chocolate Factory Inc.,8.36,0.48,5.7416,6/3/19,6/14/19
RMR,The RMR Group Inc.,48.44,1.4,2.8902,4/26/19,5/16/19
RNDM,First Trust Exchange-Traded Fund VI,50.8167,1.6,3.1486,6/14/19,6/28/19
RNDV,First Trust Exchange-Traded Fund VI,22.2639,0.646,2.9016,6/14/19,6/28/19
